In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Simplified job title,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used IRIDIS, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central Southampton pool as needed]
Faculty of Engineering and Physical Sciences,EPSRC,Postgraduate Research Student,PhD,Yes,5,Yes,4,Yes,Yes,No,Yes,Very confident,Confident,Confident,4,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Medicine,NIHR,Senior Research Assistant,Research Assistant,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Suitable,Suitable
Faculty of Arts and Humanities,Self funded,A qualitative study of teachers,A qualitative study of teachers,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Medicine,"NIHR;Diabetes UK, Novo Nordisk",Professor in Diabetes and Endocrinology,Professor in Diabetes and Endocrinology,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
Faculty of Medicine,MRC;NIHR;British Heart Foundation;Cancer Research UK,Director and Professorial Research Fellow,Director and Professorial Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
Faculty of Engineering and Physical Sciences,EPSRC,Professorial Fellow,Professorial Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD,PhD,Yes,5,Yes,3,Yes,No,I'm not interested in commercialising my research software,Yes,Very confident,Not confident,Not confident,3,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Research fellow,Research Fellow,Yes,5,Yes,3,No,Yes,No,Yes,Not confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Medicine,Cancer Research UK;Wellcome Trust;industry,Professor,Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Medicine,,clinical training fellow,clinical training fellow,Yes,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Lecturer,Lecturer,Yes,5,Yes,5,No,Yes,No,Yes,Very confident,Not heard of it,Not confident,3,No,No (but we DID expect to write software as part of the project),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Associate Professor,Associate Professor,Yes,5,Yes,4,No,No,Yes,"No, I do not require HPC in my research",Confident,Confident,Confident,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
Faculty of Medicine,MRC,student,Student,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,,researcher,researcher,Yes,5,Yes,5,Yes,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Very confident,Very confident,Confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Medicine,MRC;British Heart Foundation;Cancer Research UK;Wellcome Trust,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Medicine,MRC;Cancer Research UK,Clinical Research Training Fellow,Clinical Research Training Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Perfect
Faculty of Medicine,MRC;NIHR;Wellcome Trust,,,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Perfect,Suitable
Faculty of Engineering and Physical Sciences,EC,Associate Professor,Associate Professor,Yes,3,Yes,3,No,No,No,"No, I do not require HPC in my research",Not heard of it,Not heard of it,Not heard of it,3,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Medicine,Alzheimer's Research UK,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC;SPI Lasers,PhD Student,PhD,Yes,5,Yes,3,Yes,No,No,"No, I do not require HPC in my research",Confident,Not heard of it,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Medicine,,PhD student,PhD,Yes,5,Yes,4,Yes,No,I'm not interested in commercialising my research software,Yes,Confident,Not confident,Not confident,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,ERC,Senior Research Assistant,Research Assistant,Yes,5,No,,,,,,,,,,Yes,Yes,Suitable,Suitable
Faculty of Engineering and Physical Sciences,VC scholarship & A*STAR,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
Faculty of Medicine,NIHR,"Associate Professor, Hon Consultant",Associate Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,professor,Professor,Yes,5,Yes,5,Yes,No,No,"No, I use other HPC facilities",Not heard of it,Confident,Very confident,1,Yes,Yes,Suitable,Unsuitable
Faculty of Medicine,Cancer Research UK,PhD Student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Engineering and Physical Sciences,MoD,Postdoctoral Research Fellow,Research Fellow,Yes,4,No,,,,,,,,,,Yes,Yes,Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Lecturer,Lecturer,Yes,5,Yes,5,No,No,I'm not interested in commercialising my research software,Yes,Very confident,Very confident,Very confident,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Perfect
Faculty of Medicine,Psoriasis association & Gerald Kerkut Charitable Trust,PhD student,PhD,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,"EPSRC;Leverhulme, CDTs, VC Scholarship",Assoc. prof.,Associate Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC;ESRC;Cancer Research UK;Wellcome Trust,Postdoctoral Research Associate,Postdoc,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Perfect
Faculty of Medicine,Colciencias,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,CONACYT,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Social Sciences,ESRC,PhD student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
Faculty of Medicine,"BBSRC;MRC;Wellbing of women, Kerkut trust",Professor ,Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
Faculty of Engineering and Physical Sciences,European Research Council,Professor of Materials Science,Professor of Materials Science,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Social Sciences,EPSRC,phd student,PhD,Yes,4,Yes,4,No,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Researcher,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Social Sciences,,PhD candidate ,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Social Sciences,ESRC,Doctoral student ,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Social Sciences,ESRC,PhD Student,PhD,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Social Sciences,Self funded / Corporates,Student,Student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Medicine,MRC,PhD Student,PhD,Yes,5,Yes,2,No,No,I'm not interested in commercialising my research software,Yes,Not heard of it,Not heard of it,Not heard of it,2,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Arts and Humanities,,Lecturer,Lecturer,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
Faculty of Medicine,BBSRC;MRC,Associate Professor,Associate Professor,Yes,3,No,,,,,,,,,,No,Yes,Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,Indonesia,Mr,Mr,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,,phd,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,Phd Student,PhD,Yes,5,Yes,3,No,Yes,No,"No, but I would like to use IRIDIS in the future",Not confident,Not heard of it,Not heard of it,3,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
